,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,*
A,3,0,-3,0,0,-4,1,-3,-1,0,-2,-3,-2,-1,0,1,-1,-3,1,1,0,0,-7,-1,-4,-1,-8
B,0,4,-6,4,3,-5,0,1,-3,0,0,-4,-4,3,0,-2,0,-2,0,0,0,-3,-6,-1,-3,2,-8
C,-3,-6,9,-7,-7,-6,-4,-4,-3,0,-7,-7,-6,-5,0,-4,-7,-4,0,-3,0,-3,-8,-4,-1,-7,-8
D,0,4,-7,5,3,-7,0,0,-3,0,-1,-5,-4,2,0,-3,1,-3,0,-1,0,-3,-8,-2,-5,3,-8
E,0,3,-7,3,5,-7,-1,-1,-3,0,-1,-4,-3,1,0,-2,2,-3,-1,-2,0,-3,-8,-1,-5,4,-8
F,-4,-5,-6,-7,-7,8,-5,-3,0,0,-7,0,-1,-4,0,-5,-6,-5,-3,-4,0,-3,-1,-3,4,-6,-8
G,1,0,-4,0,-1,-5,5,-4,-4,0,-3,-5,-4,0,0,-2,-3,-4,1,-1,0,-2,-8,-2,-6,-2,-8
H,-3,1,-4,0,-1,-3,-4,7,-4,0,-2,-3,-4,2,0,-1,3,1,-2,-3,0,-3,-3,-2,-1,1,-8
I,-1,-3,-3,-3,-3,0,-4,-4,6,0,-3,1,1,-2,0,-3,-3,-2,-2,0,0,3,-6,-1,-2,-3,-8
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,-2,0,-7,-1,-1,-7,-3,-2,-3,0,5,-4,0,1,0,-2,0,2,-1,-1,0,-4,-5,-2,-5,-1,-8
L,-3,-4,-7,-5,-4,0,-5,-3,1,0,-4,5,3,-4,0,-3,-2,-4,-4,-3,0,1,-3,-2,-2,-3,-8
M,-2,-4,-6,-4,-3,-1,-4,-4,1,0,0,3,8,-3,0,-3,-1,-1,-2,-1,0,1,-6,-2,-4,-2,-8
N,-1,3,-5,2,1,-4,0,2,-2,0,1,-4,-3,4,0,-2,0,-1,1,0,0,-3,-4,-1,-2,0,-8
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,-2,-4,-3,-2,-5,-2,-1,-3,0,-2,-3,-3,-2,0,6,0,-1,1,-1,0,-2,-7,-2,-6,-1,-8
Q,-1,0,-7,1,2,-6,-3,3,-3,0,0,-2,-1,0,0,0,6,1,-2,-2,0,-3,-6,-1,-5,4,-8
R,-3,-2,-4,-3,-3,-5,-4,1,-2,0,2,-4,-1,-1,0,-1,1,6,-1,-2,0,-3,1,-2,-5,-1,-8
S,1,0,0,0,-1,-3,1,-2,-2,0,-1,-4,-2,1,0,1,-2,-1,3,2,0,-2,-2,-1,-3,-1,-8
T,1,0,-3,-1,-2,-4,-1,-3,0,0,-1,-3,-1,0,0,-1,-2,-2,2,4,0,0,-6,-1,-3,-2,-8
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,-3,-3,-3,-3,-3,-2,-3,3,0,-4,1,1,-3,0,-2,-3,-3,-2,0,0,5,-8,-1,-3,-3,-8
W,-7,-6,-8,-8,-8,-1,-8,-3,-6,0,-5,-3,-6,-4,0,-7,-6,1,-2,-6,0,-8,12,-5,-2,-7,-8
X,-1,-1,-4,-2,-1,-3,-2,-2,-1,0,-2,-2,-2,-1,0,-2,-1,-2,-1,-1,0,-1,-5,-2,-3,-1,-8
Y,-4,-3,-1,-5,-5,4,-6,-1,-2,0,-5,-2,-4,-2,0,-6,-5,-5,-3,-3,0,-3,-2,-3,8,-5,-8
Z,-1,2,-7,3,4,-6,-2,1,-3,0,-1,-3,-2,0,0,-1,4,-1,-1,-2,0,-3,-7,-1,-5,4,-8
*,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-8,-8,-8,-8,0,-8,-8,-8,-8,-8,0,-8,-8,-8,-8,-8,1
